Time [sec]	P [hPa]	T [°C]	Hu [%]	Ws [m/s]	Wd [°]	Ws U [m/s]	Ws V [m/s]	Alt [m]	Geopot [m]	Lon [°]    	Lat [°]  	Dew [°C]	Vi Te [°C]	RI    	MRI    	Rs [m/s]	Elevation [°]	Azimuth [°]	Range [m]	D [kg/m3]
0         	911.0  	13.9  	77    	0.4     	315   	0.3       	-0.3      	978    	978       	-113.995400	46.846000	9.9     	15.4      	249.76	403.31 	0.0     	0.0          	208        	1714     	1.105806
1         	910.4  	13.8  	75    	0.4     	310   	0.3       	-0.3      	984    	984       	-113.994709	46.846898	9.5     	15.3      	249.56	404.00 	5.7     	0.2          	208        	1602     	1.105291
2         	909.8  	13.8  	73    	0.4     	305   	0.3       	-0.2      	989    	989       	-113.994019	46.847796	9.0     	15.2      	249.36	404.68 	5.7     	0.4          	208        	1489     	1.104776
3         	909.2  	13.7  	71    	0.5     	299   	0.4       	-0.2      	995    	995       	-113.993328	46.848694	8.6     	15.1      	249.15	405.37 	5.7     	0.7          	208        	1376     	1.104262
4         	908.6  	13.7  	69    	0.5     	293   	0.5       	-0.2      	1001   	1001      	-113.992638	46.849592	8.1     	15.0      	248.95	406.06 	5.7     	1.0          	208        	1263     	1.103748
5         	907.9  	13.6  	67    	0.5     	286   	0.5       	-0.1      	1006   	1006      	-113.991947	46.850490	7.6     	14.9      	248.75	406.74 	5.7     	1.4          	207        	1150     	1.103234
6         	907.3  	13.5  	65    	0.5     	280   	0.5       	-0.1      	1012   	1012      	-113.991257	46.851388	7.1     	14.8      	248.55	407.43 	5.7     	1.9          	207        	1038     	1.102720
7         	906.7  	13.5  	63    	0.5     	273   	0.5       	0.0       	1018   	1018      	-113.990566	46.852286	6.6     	14.7      	248.34	408.12 	5.7     	2.5          	207        	925      	1.102198
8         	906.1  	13.4  	63    	0.6     	267   	0.6       	0.0       	1023   	1023      	-113.989876	46.853184	6.6     	14.6      	248.24	408.91 	5.7     	3.2          	207        	813      	1.101676
9         	905.5  	13.4  	64    	0.6     	261   	0.6       	0.1       	1029   	1029      	-113.989185	46.854083	6.7     	14.5      	248.13	409.69 	5.7     	4.2          	207        	700      	1.101155
10        	904.9  	13.3  	64    	0.6     	256   	0.6       	0.1       	1035   	1035      	-113.988495	46.854981	6.7     	14.5      	248.03	410.48 	5.7     	5.6          	207        	588      	1.100633
11        	904.3  	13.3  	64    	0.6     	251   	0.6       	0.2       	1040   	1040      	-113.987804	46.855879	6.7     	14.4      	247.93	411.27 	5.7     	7.6          	207        	477      	1.100113
12        	903.7  	13.2  	65    	0.6     	247   	0.6       	0.2       	1046   	1046      	-113.987114	46.856777	6.7     	14.4      	247.83	412.05 	5.7     	10.8         	207        	366      	1.099592
13        	903.1  	13.1  	65    	0.7     	243   	0.6       	0.3       	1052   	1052      	-113.986423	46.857675	6.7     	14.3      	247.72	412.84 	5.7     	16.7         	206        	258      	1.099072
14        	902.5  	13.1  	65    	0.7     	239   	0.6       	0.4       	1057   	1057      	-113.985733	46.858573	6.7     	14.3      	247.62	413.63 	5.7     	30.7         	205        	156      	1.098552
15        	901.9  	13.0  	65    	0.7     	236   	0.6       	0.4       	1063   	1063      	-113.985042	46.859471	6.7     	14.2      	247.52	414.41 	5.7     	75.5         	190        	88       	1.098033
16        	901.3  	13.0  	66    	0.7     	233   	0.6       	0.4       	1069   	1069      	-113.984760	46.859830	6.7     	14.2      	247.42	415.20 	5.7     	74.5         	044        	95       	1.097514
17        	900.6  	12.9  	66    	0.7     	231   	0.5       	0.4       	1074   	1074      	-113.984748	46.859834	6.7     	14.1      	247.32	416.00 	5.7     	74.9         	045        	100      	1.096995
18        	900.0  	12.9  	66    	0.8     	228   	0.6       	0.5       	1080   	1080      	-113.984736	46.859837	6.7     	14.0      	247.21	416.77 	5.6     	75.2         	046        	106      	1.096477
19        	899.5  	12.8  	66    	0.8     	226   	0.6       	0.6       	1085   	1085      	-113.984724	46.859841	6.7     	14.0      	247.10	417.47 	5.1     	75.4         	046        	111      	1.095932
20        	898.9  	12.8  	67    	0.8     	224   	0.6       	0.6       	1090   	1090      	-113.984712	46.859845	6.7     	14.0      	246.99	418.15 	5.1     	75.5         	047        	116      	1.095388
21        	898.4  	12.8  	67    	0.8     	223   	0.5       	0.6       	1095   	1095      	-113.984699	46.859848	6.7     	14.0      	246.88	418.84 	5.1     	75.7         	048        	121      	1.094843
22        	897.9  	12.7  	67    	0.8     	221   	0.5       	0.6       	1100   	1100      	-113.984687	46.859852	6.7     	13.9      	246.76	419.52 	5.1     	75.9         	048        	127      	1.094300
23        	897.3  	12.7  	67    	0.9     	220   	0.6       	0.7       	1106   	1105      	-113.984675	46.859856	6.7     	13.9      	246.65	420.21 	5.1     	76.0         	049        	132      	1.093756
24        	896.8  	12.7  	67    	0.9     	219   	0.6       	0.7       	1111   	1111      	-113.984663	46.859859	6.7     	13.9      	246.53	420.89 	5.1     	76.1         	049        	137      	1.093213
25        	896.2  	12.6  	67    	0.9     	218   	0.5       	0.7       	1116   	1116      	-113.984651	46.859863	6.7     	13.8      	246.41	421.58 	5.1     	76.2         	050        	142      	1.092669
26        	895.7  	12.6  	67    	0.9     	216   	0.5       	0.7       	1121   	1121      	-113.984639	46.859866	6.7     	13.8      	246.30	422.27 	5.1     	76.3         	050        	147      	1.092126
27        	895.1  	12.6  	67    	0.9     	216   	0.5       	0.7       	1126   	1126      	-113.984626	46.859870	6.7     	13.8      	246.18	422.95 	5.1     	76.4         	051        	153      	1.091583
28        	894.6  	12.5  	67    	1.0     	215   	0.6       	0.8       	1131   	1131      	-113.984614	46.859874	6.7     	13.7      	246.07	423.64 	5.1     	76.5         	051        	158      	1.091041
29        	894.1  	12.5  	68    	1.0     	214   	0.6       	0.8       	1136   	1136      	-113.984602	46.859877	6.7     	13.7      	245.95	424.32 	5.1     	76.6         	052        	163      	1.090498
