Time [mm:ss]	T [°C]	U [%r H] 	Tu Cap [°C]
08:34.9     	--    	72.8     	
08:34.9     	15.88 	0x46 5334	
08:35.6     	14.07 	73.0     	15.88
08:36.5     	13.96 	73.2     	15.87
08:37.4     	13.91 	73.7     	15.87
08:38.2     	13.89 	74.3     	15.86
08:39.2     	13.91 	75.0     	15.86
08:40.1     	13.95 	75.5     	15.85
08:41.0     	14.03 	74.7     	15.85
08:41.9     	13.99 	74.8     	15.85
08:42.8     	13.92 	74.7     	15.84
08:43.7     	13.87 	74.5     	15.84
08:44.6     	13.84 	74.5     	15.84
08:45.5     	13.86 	74.6     	15.84
08:46.3     	13.95 	74.6     	15.83
08:47.3     	13.94 	74.4     	15.83
08:48.2     	13.89 	74.2     	15.83
08:49.0     	13.83 	74.2     	15.82
08:49.9     	13.84 	74.6     	15.82
08:50.8     	13.79 	74.7     	15.82
08:51.7     	13.74 	74.7     	15.81
08:52.6     	13.71 	74.7     	15.81
08:53.5     	13.75 	74.7     	15.81
08:54.5     	13.80 	75.6     	15.80
08:55.4     	13.81 	75.1     	15.80
08:56.3     	13.78 	74.8     	15.79
08:57.1     	13.76 	74.8     	15.79
08:58.0     	13.72 	74.6     	15.79
08:58.9     	13.69 	74.5     	15.78
08:59.8     	13.67 	74.4     	15.78
09:00.7     	13.67 	74.3     	15.78
09:01.6     	13.67 	74.3     	15.78
09:02.5     	13.67 	74.3     	15.78
09:03.4     	13.66 	74.3     	15.78
09:04.3     	13.66 	74.3     	15.78
09:05.1     	13.66 	74.2     	15.78
09:06.0     	13.68 	74.1     	15.78
09:06.9     	13.70 	74.0     	15.78
09:07.9     	13.72 	74.2     	15.79
09:08.8     	13.82 	74.3     	15.79
09:09.7     	13.90 	73.6     	15.80
09:10.6     	14.11 	74.2     	15.80
09:11.5     	14.37 	75.1     	15.81
09:12.4     	14.39 	74.6     	15.81
09:13.2     	14.54 	74.4     	15.82
09:14.1     	14.63 	74.7     	15.83
09:15.0     	14.64 	74.5     	15.84
09:15.9     	14.68 	74.5     	15.85
09:16.8     	14.64 	74.2     	15.86
09:17.7     	14.53 	73.8     	15.88
09:18.6     	14.46 	73.5     	15.90
09:19.5     	14.45 	73.2     	15.91
09:20.4     	14.44 	73.6     	15.93
09:21.3     	14.44 	74.3     	15.95
09:22.2     	14.48 	74.4     	15.97
09:23.1     	14.52 	74.4     	15.99
09:24.0     	14.58 	74.5     	16.01
09:24.9     	14.60 	74.9     	16.03
09:25.8     	14.68 	74.9     	16.05
09:26.7     	14.71 	74.6     	16.07
09:27.6     	14.73 	74.1     	16.09
09:28.5     	14.70 	73.9     	16.11
09:29.3     	14.66 	74.1     	16.14
09:30.2     	14.63 	74.1     	16.16
09:31.2     	14.63 	74.0     	16.18
09:32.0     	14.59 	74.6     	16.20
09:32.9     	14.60 	75.3     	16.22
09:33.9     	14.59 	75.3     	16.24
09:34.8     	14.51 	74.6     	16.26
09:35.7     	14.42 	74.1     	16.27
09:36.6     	14.36 	73.7     	16.29
09:37.4     	14.30 	73.6     	16.30
09:38.3     	14.28 	73.6     	16.31
09:39.2     	14.22 	73.7     	16.32
09:40.1     	14.19 	74.0     	16.33
09:41.0     	14.18 	74.1     	16.34
09:42.6     	14.30 	74.2     	16.35
09:42.8     	14.30 	74.2     	16.36
09:43.7     	14.29 	74.3     	16.36
09:44.6     	14.34 	74.8     	16.37
09:45.4     	14.42 	75.0     	16.37
09:46.4     	14.39 	74.6     	16.38
09:47.3     	14.46 	74.2     	16.39
09:48.2     	14.50 	73.9     	16.40
09:49.1     	14.55 	73.8     	16.41
09:50.0     	14.57 	73.6     	16.42
09:50.9     	14.61 	73.4     	16.43
09:51.8     	14.59 	73.4     	16.45
09:52.7     	14.54 	73.5     	16.46
09:53.5     	14.45 	73.4     	16.47
09:54.4     	14.36 	73.4     	16.48
09:55.3     	14.30 	73.4     	16.48
09:56.2     	14.24 	73.5     	16.49
09:57.1     	14.21 	73.5     	16.50
09:58.0     	14.19 	73.5     	16.52
09:58.9     	14.17 	73.7     	16.53
09:59.9     	14.17 	73.9     	16.54
10:00.8     	14.18 	74.1     	16.55
10:01.6     	14.22 	74.1     	16.56
10:02.5     	14.32 	74.0     	16.58
10:03.5     	14.52 	73.5     	16.59
10:04.3     	14.68 	73.1     	16.60
10:05.2     	14.78 	73.1     	16.62
10:06.1     	14.83 	73.2     	16.63
10:07.0     	14.86 	74.1     	16.65
10:07.9     	14.94 	74.2     	16.67
10:08.8     	14.99 	74.7     	16.68
10:09.6     	14.96 	73.9     	16.70
10:10.5     	14.88 	72.9     	16.71
10:11.5     	14.79 	72.4     	16.73
10:12.3     	14.75 	71.9     	16.74
10:13.3     	14.71 	71.7     	16.75
10:14.2     	14.69 	72.0     	16.76
10:15.1     	14.61 	72.4     	16.78
10:16.0     	14.51 	72.6     	16.79
10:16.9     	14.41 	72.7     	16.80
10:17.7     	14.35 	72.9     	16.81
10:18.7     	14.33 	73.2     	16.82
10:19.6     	14.30 	73.5     	16.83
10:20.4     	14.26 	73.8     	16.84
10:21.3     	14.22 	74.0     	16.86
10:22.2     	14.19 	74.1     	16.87
10:23.1     	14.18 	74.1     	16.88
10:24.0     	14.17 	74.3     	16.90
10:24.9     	14.17 	74.4     	16.91
10:25.8     	14.16 	74.6     	16.93
10:26.8     	14.17 	74.7     	16.94
10:27.7     	14.15 	74.6     	16.95
10:28.6     	14.16 	74.7     	16.95
10:29.4     	14.19 	75.0     	16.96
10:30.3     	14.21 	75.2     	16.97
10:31.2     	14.25 	75.5     	16.97
10:32.1     	14.28 	75.2     	16.98
10:33.0     	14.27 	74.9     	16.99
10:33.9     	14.29 	74.7     	17.00
10:34.8     	14.32 	74.9     	17.01
10:35.7     	14.36 	75.2     	17.02
10:36.6     	14.40 	75.4     	17.03
10:37.4     	14.40 	75.4     	17.03
10:38.4     	14.38 	75.4     	17.04
