Flight Information:
Launch Date:            	     	                       	Wednesday, 10 June 2020	     	                   	           	Launch Time: 	     	            	17:05:54	       	     	End of Ascent:	     	         	01:25:06
Station name:           	     	                       	                       	     	                   	           	Serialnumber:	     	            	17045707
Ground values:
Pressure:               	     	                       	911.0 hPa              	     	                   	           	Temperature: 	     	            	13.9 °C 	       	     	Humidity:     	     	         	77 %
Wind Direction:         	     	                       	315 °                  	     	                   	           	Wind Speed:  	     	            	0 m/s   	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-113.985 °             	     	                   	           	Latitude:    	     	            	46.860 °	       	     	Altitude:     	     	         	978 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                       	     	                   	           	
Events:
Highest Point:          	     	                       	14.5 hPa               	     	                   	           	28998 m
Tropopauses:            	     	                       	1.: 199.9 hPa          	     	                   	           	             	     	            	
Max Winds:              	     	                       	                       	     	                   	           	             	     	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                     	Ws   	Wd                 	Long.      	Lat.         	Alt  	Geopot      	MRI     	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa]	[°C]                   	[%]                    	[m/s]	[°]                	[°]        	[°]          	[m]  	[m]         	        	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                       	911.0	13.9                   	77                     	0.4  	315                	-113.995400	46.846000    	978  	978         	403.308 	249.762	9.9  	15.4          	0.0  	0.0      	208     	1714 	1.105806
1                       	910.4	13.8                   	75                     	0.4  	310                	-113.994709	46.846898    	984  	984         	404.016 	249.575	9.5  	15.2          	5.7  	0.2      	208     	1602 	1.105358
2                       	909.8	13.7                   	73                     	0.4  	305                	-113.994019	46.847796    	989  	989         	404.708 	249.387	9.0  	15.1          	5.7  	0.4      	208     	1489 	1.104910
3                       	909.2	13.7                   	71                     	0.5  	299                	-113.993328	46.848694    	995  	995         	405.415 	249.200	8.5  	15.0          	5.7  	0.7      	208     	1376 	1.104462
4                       	908.6	13.6                   	69                     	0.5  	293                	-113.992638	46.849592    	1001 	1001        	406.123 	249.013	8.1  	14.9          	5.7  	1.0      	208     	1263 	1.104014
5                       	907.9	13.5                   	67                     	0.5  	286                	-113.991947	46.850490    	1006 	1006        	406.815 	248.825	7.6  	14.8          	5.7  	1.4      	207     	1150 	1.103567
6                       	907.3	13.4                   	65                     	0.5  	280                	-113.991257	46.851388    	1012 	1012        	407.522 	248.638	7.0  	14.6          	5.7  	1.9      	207     	1038 	1.103120
7                       	906.7	13.4                   	63                     	0.5  	273                	-113.990566	46.852286    	1018 	1018        	408.215 	248.436	6.5  	14.5          	5.7  	2.5      	207     	925  	1.102608
8                       	906.1	13.3                   	63                     	0.6  	267                	-113.989876	46.853184    	1023 	1023        	408.999 	248.325	6.6  	14.5          	5.7  	3.2      	207     	813  	1.102061
9                       	905.5	13.3                   	64                     	0.6  	261                	-113.989185	46.854083    	1029 	1029        	409.770 	248.217	6.6  	14.4          	5.7  	4.2      	207     	700  	1.101515
10                      	904.9	13.2                   	64                     	0.6  	256                	-113.988495	46.854981    	1035 	1035        	410.556 	248.108	6.6  	14.4          	5.7  	5.6      	207     	588  	1.100970
11                      	904.3	13.2                   	64                     	0.6  	251                	-113.987804	46.855879    	1040 	1040        	411.343 	248.000	6.6  	14.3          	5.7  	7.6      	207     	477  	1.100424
12                      	903.7	13.1                   	65                     	0.6  	247                	-113.987114	46.856777    	1046 	1046        	412.114 	247.892	6.6  	14.3          	5.7  	10.8     	207     	366  	1.099879
