Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:00.6     	--    	57.6    	
00:00.6     	--    	0x48 827	
00:01.6     	--    	57.7    	--
00:02.4     	--    	58.2    	--
00:03.4     	--    	58.7    	--
00:04.3     	--    	58.6    	--
00:05.1     	--    	58.0    	--
00:05.8     	15.32 	60.5    	17.59
00:06.7     	15.07 	71.5    	17.58
00:07.6     	14.89 	72.2    	17.57
00:08.4     	14.76 	72.9    	17.55
00:09.4     	14.61 	74.0    	17.52
00:10.3     	14.49 	74.6    	17.49
00:11.1     	14.38 	74.4    	17.46
00:12.1     	14.26 	75.4    	17.41
00:13.0     	14.19 	76.2    	17.37
00:13.9     	14.17 	76.9    	17.34
00:14.8     	14.17 	77.2    	17.30
00:15.7     	14.11 	77.2    	17.27
00:16.5     	14.10 	77.3    	17.23
00:17.4     	14.11 	77.6    	17.19
00:18.4     	14.11 	77.0    	17.14
00:19.2     	14.20 	76.0    	17.10
00:20.1     	14.18 	75.6    	17.05
00:21.0     	14.11 	75.7    	17.01
00:21.9     	14.11 	77.1    	16.96
00:22.8     	14.16 	78.0    	16.92
00:23.7     	14.23 	77.6    	16.87
00:24.6     	14.24 	75.4    	16.83
00:25.6     	14.09 	73.4    	16.78
00:26.5     	13.89 	73.2    	16.73
00:27.3     	13.72 	73.5    	16.69
00:28.2     	13.59 	73.9    	16.63
00:29.1     	13.49 	74.3    	16.58
00:30.0     	13.44 	74.6    	16.54
00:30.9     	13.47 	75.3    	16.49
00:31.8     	13.44 	75.7    	16.44
00:32.6     	13.49 	76.4    	16.39
00:33.5     	13.54 	75.6    	16.35
00:34.4     	13.59 	75.2    	16.30
00:35.3     	13.58 	75.2    	16.26
00:36.3     	13.59 	75.4    	16.21
00:37.2     	13.61 	75.7    	16.16
00:38.1     	13.65 	76.0    	16.12
00:39.0     	13.75 	76.2    	16.08
00:39.9     	14.10 	75.0    	16.05
00:40.7     	14.21 	75.0    	16.02
00:41.6     	14.28 	75.1    	16.00
00:42.6     	14.35 	75.9    	15.98
00:43.4     	14.24 	76.1    	15.96
00:44.3     	14.08 	75.7    	15.95
00:45.2     	13.97 	75.5    	15.93
00:46.1     	13.97 	74.9    	15.92
00:47.7     	13.96 	74.4    	15.91
00:47.9     	13.78 	75.2    	15.89
00:48.7     	13.76 	75.7    	15.88
00:49.8     	13.84 	76.0    	15.86
00:50.7     	13.92 	76.4    	15.85
00:51.5     	14.08 	75.7    	15.84
00:52.4     	14.35 	73.9    	15.83
00:53.3     	14.30 	73.0    	15.82
00:54.2     	14.19 	73.5    	15.81
00:55.1     	14.15 	74.1    	15.80
00:56.0     	14.05 	74.0    	15.78
00:56.8     	13.97 	74.3    	15.77
00:57.8     	13.89 	74.6    	15.75
00:58.7     	13.93 	74.7    	15.73
00:59.5     	14.21 	74.2    	15.73
01:00.4     	14.52 	73.3    	15.73
01:01.3     	14.57 	73.1    	15.74
01:02.2     	14.63 	72.3    	15.75
01:03.2     	14.82 	70.6    	15.76
01:04.1     	15.00 	69.6    	15.78
01:05.2     	15.19 	70.1    	15.80
01:05.9     	14.97 	72.1    	15.82
01:06.8     	15.05 	73.0    	15.84
01:07.6     	15.03 	72.0    	15.87
01:08.5     	14.91 	73.0    	15.88
01:09.4     	14.99 	73.0    	15.90
01:10.3     	14.92 	72.6    	15.93
01:11.2     	14.64 	73.5    	15.94
01:12.1     	14.49 	72.2    	15.95
01:13.0     	14.26 	71.9    	15.96
01:13.9     	14.02 	71.9    	15.95
01:14.8     	13.87 	72.4    	15.94
01:15.6     	13.83 	74.1    	15.93
01:16.6     	13.85 	75.6    	15.91
01:17.5     	13.82 	74.3    	15.89
01:18.4     	13.72 	74.7    	15.87
01:19.3     	13.80 	75.2    	15.85
01:20.2     	13.78 	74.8    	15.84
01:21.1     	13.74 	74.4    	15.83
01:22.0     	13.75 	74.2    	15.81
01:22.9     	13.62 	73.5    	15.78
01:23.7     	13.53 	73.3    	15.75
01:24.6     	13.45 	73.4    	15.73
01:25.5     	13.41 	74.0    	15.71
01:26.4     	13.40 	73.7    	15.69
01:27.3     	13.36 	73.6    	15.66
01:28.2     	13.36 	73.4    	15.64
01:29.1     	13.66 	72.4    	15.63
01:30.1     	13.83 	72.2    	15.62
01:31.0     	13.92 	72.3    	15.63
01:31.8     	14.02 	71.6    	15.64
01:33.4     	14.13 	70.9    	15.64
01:33.6     	14.49 	69.0    	15.66
01:34.5     	14.69 	68.4    	15.67
01:35.4     	14.76 	68.3    	15.69
01:36.3     	14.85 	68.0    	15.72
01:37.1     	14.97 	67.9    	15.74
01:38.0     	15.34 	66.4    	15.77
01:39.0     	15.27 	66.2    	15.79
01:39.8     	14.85 	67.7    	15.81
01:40.7     	14.52 	69.3    	15.83
01:41.7     	14.29 	70.5    	15.85
