Time [sec]	P [hPa] 	T [°C]	Hu [%]	Ws [m/s]	Wd [°]	Ws U [m/s]	Ws V [m/s]	Alt [m]	Geopot [m]	Lon [°]      	Lat [°]      	Dew [°C]	Vi Te [°C]	Rs [m/s]	D [kg/m3]
0         	907.0   	15.2  	62    	1.2     	343   	0.4       	-1.1      	978    	978       	-113.985007  	46.859774    	8.0     	16.5      	0.0     	1.095987
1         	999999.0	15.0  	999999	1.2     	345   	0.3       	-1.2      	1000977	999999    	999999.000000	999999.000000	999999.0	999999.0  	999999.0	999999.000000
2         	999999.0	14.8  	999999	1.3     	347   	0.3       	-1.3      	1000977	999999    	999999.000000	999999.000000	999999.0	999999.0  	999999.0	999999.000000
3         	999999.0	14.6  	999999	1.3     	349   	0.3       	-1.3      	1000977	999999    	999999.000000	999999.000000	999999.0	999999.0  	999999.0	999999.000000
4         	999999.0	14.3  	999999	1.3     	351   	0.2       	-1.3      	1000977	999999    	999999.000000	999999.000000	999999.0	999999.0  	999999.0	999999.000000
5         	999999.0	14.1  	999999	1.3     	353   	0.2       	-1.3      	1000977	999999    	999999.000000	999999.000000	999999.0	999999.0  	999999.0	999999.000000
6         	903.2   	13.9  	63    	1.4     	354   	0.1       	-1.4      	1014   	1014      	-113.984922  	46.859664    	6.9     	15.1      	5.9     	1.096252
7         	902.6   	13.8  	63    	1.4     	356   	0.1       	-1.4      	1020   	1019      	-113.984908  	46.859645    	6.9     	15.0      	5.9     	1.095840
8         	901.9   	13.8  	63    	1.4     	358   	0.1       	-1.4      	1025   	1025      	-113.984894  	46.859627    	6.9     	15.0      	5.9     	1.095336
9         	901.3   	13.7  	63    	1.5     	359   	0.0       	-1.5      	1031   	1031      	-113.984880  	46.859608    	6.9     	14.9      	5.9     	1.094832
10        	900.7   	13.6  	64    	1.5     	001   	0.0       	-1.5      	1037   	1037      	-113.984866  	46.859590    	6.9     	14.8      	5.9     	1.094329
11        	900.0   	13.6  	64    	1.5     	002   	-0.1      	-1.5      	1043   	1043      	-113.984852  	46.859572    	6.9     	14.7      	5.9     	1.093826
12        	899.4   	13.5  	64    	1.5     	004   	-0.1      	-1.5      	1049   	1049      	-113.984838  	46.859553    	6.9     	14.7      	5.9     	1.093323
13        	898.8   	13.4  	65    	1.6     	005   	-0.1      	-1.6      	1055   	1055      	-113.984824  	46.859535    	6.9     	14.6      	5.9     	1.092820
14        	898.1   	13.3  	65    	1.6     	006   	-0.2      	-1.6      	1061   	1061      	-113.984810  	46.859517    	6.9     	14.5      	5.9     	1.092316
15        	897.5   	13.3  	65    	1.6     	008   	-0.2      	-1.6      	1067   	1067      	-113.984796  	46.859498    	6.9     	14.5      	5.9     	1.091814
16        	896.9   	13.2  	66    	1.6     	009   	-0.2      	-1.6      	1073   	1073      	-113.984805  	46.859476    	6.9     	14.4      	5.9     	1.091311
17        	896.2   	13.1  	66    	1.7     	010   	-0.3      	-1.7      	1079   	1079      	-113.984836  	46.859450    	6.9     	14.3      	5.9     	1.090808
18        	895.6   	13.1  	66    	1.7     	011   	-0.3      	-1.7      	1085   	1085      	-113.984866  	46.859425    	6.9     	14.3      	5.9     	1.090306
19        	895.1   	13.0  	66    	1.7     	012   	-0.4      	-1.7      	1091   	1091      	-113.984897  	46.859399    	6.9     	14.2      	5.9     	1.089840
20        	894.5   	13.0  	67    	1.8     	013   	-0.4      	-1.8      	1096   	1096      	-113.984928  	46.859374    	6.9     	14.2      	5.9     	1.089365
21        	894.0   	12.9  	67    	1.8     	014   	-0.4      	-1.7      	1101   	1101      	-113.984959  	46.859348    	6.9     	14.1      	4.9     	1.088890
22        	893.4   	12.9  	67    	1.8     	015   	-0.5      	-1.7      	1106   	1106      	-113.984990  	46.859322    	6.9     	14.1      	4.7     	1.088415
23        	892.9   	12.8  	67    	1.8     	016   	-0.5      	-1.7      	1111   	1111      	-113.985020  	46.859297    	6.9     	14.0      	4.7     	1.087941
24        	892.3   	12.8  	67    	1.9     	017   	-0.6      	-1.8      	1115   	1115      	-113.985051  	46.859271    	6.9     	14.0      	4.7     	1.087466
25        	891.8   	12.7  	68    	1.9     	018   	-0.6      	-1.8      	1120   	1120      	-113.985082  	46.859246    	6.9     	13.9      	4.7     	1.087048
26        	891.3   	12.7  	68    	1.9     	019   	-0.6      	-1.8      	1125   	1125      	-113.985113  	46.859220    	6.9     	13.9      	4.7     	1.086630
27        	890.8   	12.6  	68    	2.0     	020   	-0.7      	-1.9      	1129   	1129      	-113.985144  	46.859194    	6.9     	13.8      	4.7     	1.086213
28        	890.4   	12.6  	68    	2.0     	020   	-0.7      	-1.9      	1134   	1134      	-113.985174  	46.859169    	6.9     	13.8      	4.7     	1.085795
29        	889.9   	12.5  	68    	2.0     	021   	-0.7      	-1.9      	1139   	1139      	-113.985205  	46.859143    	6.8     	13.7      	4.7     	1.085378
30        	889.4   	12.5  	68    	2.0     	022   	-0.7      	-1.9      	1144   	1143      	-113.985236  	46.859118    	6.8     	13.7      	4.7     	1.084961
