Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:01.1     	--    	--      	--
00:01.1     	      	        	
00:01.5     	--    	62.8    	--
00:02.5     	--    	63.5    	--
00:03.4     	--    	63.4    	--
00:04.3     	--    	63.1    	--
00:05.1     	--    	62.1    	--
00:06.0     	--    	61.7    	--
00:06.9     	--    	61.4    	--
00:07.8     	--    	61.3    	--
00:08.5     	14.20 	64.2    	15.14
00:09.4     	14.19 	68.6    	15.13
00:10.3     	14.20 	69.0    	15.13
00:11.1     	14.22 	69.5    	15.12
00:12.0     	14.26 	70.5    	15.12
00:13.0     	14.30 	70.5    	15.12
00:14.0     	14.33 	70.4    	15.12
00:14.5     	14.33 	70.4    	--
00:14.9     	--    	--      	--
00:15.4     	--    	70.4    	15.12
00:15.7     	14.26 	70.3    	15.12
00:16.5     	14.23 	70.3    	15.12
00:16.9     	14.39 	69.0    	--
00:17.7     	14.51 	70.0    	--
00:18.0     	14.51 	70.0    	--
00:18.7     	--    	70.0    	--
00:19.3     	--    	70.0    	15.12
00:20.0     	--    	--      	15.12
00:20.2     	14.30 	--      	15.12
00:21.1     	14.20 	70.5    	15.12
00:23.2     	14.20 	70.9    	15.12
00:23.8     	--    	70.9    	--
00:24.6     	--    	--      	--
00:24.8     	--    	--      	--
00:25.6     	14.30 	--      	--
00:26.8     	14.30 	--      	--
00:27.8     	14.30 	--      	--
00:29.7     	14.30 	--      	--
00:33.7     	14.30 	--      	--
00:36.5     	14.30 	--      	--
00:37.4     	--    	--      	--
01:02.5     	14.48 	--      	--
01:03.2     	14.39 	--      	--
01:04.0     	14.39 	--      	--
01:04.4     	14.39 	--      	--
01:15.1     	14.48 	69.3    	14.91
01:15.9     	14.37 	68.1    	14.85
01:16.8     	14.33 	68.0    	14.84
01:20.1     	14.37 	67.8    	14.84
01:21.2     	14.42 	67.8    	14.84
01:21.4     	14.42 	67.8    	14.85
01:23.2     	--    	67.8    	14.85
01:23.6     	--    	67.8    	14.85
01:25.4     	14.37 	67.8    	--
01:25.6     	14.37 	67.8    	14.85
01:28.0     	14.37 	--      	14.85
01:30.7     	14.37 	--      	14.85
01:47.0     	13.98 	69.5    	14.46
01:47.9     	13.93 	67.3    	14.46
01:48.8     	13.90 	67.7    	14.46
01:49.7     	13.90 	68.0    	14.45
01:50.6     	13.91 	67.8    	14.44
01:51.5     	13.92 	67.5    	14.43
01:52.4     	13.89 	67.1    	14.43
01:53.4     	13.88 	67.5    	14.41
01:54.2     	13.91 	68.9    	14.41
01:55.1     	13.93 	68.8    	14.41
01:56.0     	13.93 	68.2    	14.41
01:56.9     	13.93 	68.0    	14.40
01:57.8     	13.96 	68.7    	14.40
01:58.7     	14.01 	69.2    	14.40
01:59.6     	14.02 	69.0    	14.39
02:00.5     	14.02 	68.5    	14.39
02:01.4     	14.01 	68.3    	14.39
02:02.2     	14.02 	68.0    	14.39
02:03.1     	14.02 	68.0    	14.39
02:04.0     	14.04 	69.1    	14.39
02:04.9     	14.02 	68.0    	14.38
02:05.8     	14.01 	67.6    	14.40
02:06.7     	14.10 	67.9    	14.41
02:07.7     	14.18 	67.2    	14.41
02:08.6     	14.17 	66.5    	14.41
02:09.5     	14.07 	66.8    	14.41
02:10.3     	13.99 	66.8    	14.41
02:11.2     	13.97 	67.4    	14.41
02:12.2     	13.97 	67.2    	14.43
02:13.0     	13.97 	67.3    	14.43
02:13.9     	13.97 	67.3    	14.43
02:14.8     	14.01 	67.3    	14.44
02:15.7     	14.01 	67.2    	14.45
02:16.6     	14.03 	67.9    	14.45
02:17.5     	14.07 	69.2    	14.45
02:18.3     	14.10 	69.2    	14.46
02:19.2     	14.10 	68.2    	14.47
02:20.2     	14.16 	69.0    	14.48
02:21.1     	14.22 	68.3    	14.49
02:22.0     	14.21 	67.6    	14.50
02:22.9     	14.24 	67.2    	14.52
02:23.8     	14.30 	67.1    	14.52
02:24.7     	14.36 	67.2    	14.53
02:25.6     	14.45 	67.0    	14.55
02:26.5     	14.54 	66.8    	14.57
02:27.4     	14.61 	66.2    	14.59
02:28.3     	14.67 	65.7    	14.60
02:29.2     	14.62 	65.6    	14.61
02:30.0     	14.61 	65.7    	14.63
02:30.9     	14.55 	65.7    	14.68
02:31.8     	14.55 	65.9    	14.71
