Time [sec]	P [hPa] 	T [°C]  	Hu [%]	Ws [m/s]	Wd [°]	Ws U [m/s]	Ws V [m/s]	Alt [m]	Geopot [m]	Lon [°]      	Lat [°]      	Dew [°C]	Vi Te [°C]	RI       	MRI      	Rs [m/s]	Elevation [°]	Azimuth [°]	Range [m]	D [kg/m3]
0         	907.0   	14.9    	62    	0.7     	295   	0.6       	-0.3      	978    	978       	-113.984933  	46.859752    	7.7     	16.2      	247.13   	400.68   	0.0     	46.9         	360        	1        	1.097129
1         	906.4   	15.1    	999999	0.7     	297   	0.6       	-0.3      	984    	984       	-113.984934  	46.859752    	999999.0	999999.0  	999999.00	999999.00	5.8     	86.2         	347        	6        	1.095553
2         	905.8   	15.3    	999999	0.7     	299   	0.6       	-0.3      	990    	990       	-113.984935  	46.859752    	999999.0	999999.0  	999999.00	999999.00	5.8     	87.7         	336        	12       	1.093980
3         	905.2   	15.6    	999999	0.7     	301   	0.6       	-0.4      	995    	995       	-113.984937  	46.859753    	999999.0	999999.0  	999999.00	999999.00	5.8     	88.2         	328        	18       	1.092410
4         	904.5   	15.8    	999999	0.7     	303   	0.6       	-0.4      	1001   	1001      	-113.984938  	46.859753    	999999.0	999999.0  	999999.00	999999.00	5.8     	88.5         	322        	24       	1.090842
5         	903.9   	16.0    	999999	0.7     	306   	0.6       	-0.4      	1007   	1007      	-113.984939  	46.859753    	999999.0	999999.0  	999999.00	999999.00	5.8     	88.6         	317        	29       	1.089278
6         	903.3   	16.2    	999999	0.7     	309   	0.5       	-0.4      	1013   	1013      	-113.984940  	46.859753    	999999.0	999999.0  	999999.00	999999.00	5.8     	88.7         	313        	35       	1.087716
7         	902.7   	16.2    	59    	0.7     	312   	0.5       	-0.5      	1018   	1018      	-113.984942  	46.859754    	8.1     	17.5      	244.71   	404.59   	5.8     	88.8         	310        	41       	1.087061
8         	902.1   	16.1    	58    	0.7     	316   	0.5       	-0.5      	1024   	1024      	-113.984943  	46.859754    	7.9     	17.4      	244.64   	405.42   	5.8     	88.8         	308        	47       	1.086754
9         	901.5   	16.0    	58    	0.7     	320   	0.4       	-0.5      	1030   	1030      	-113.984944  	46.859754    	7.8     	17.2      	244.57   	406.26   	5.8     	88.8         	306        	52       	1.086448
10        	900.9   	15.8    	58    	0.7     	326   	0.4       	-0.6      	1036   	1036      	-113.984945  	46.859754    	7.7     	17.1      	244.50   	407.09   	5.8     	88.9         	304        	58       	1.086142
11        	900.3   	15.7    	58    	0.7     	331   	0.3       	-0.6      	1041   	1041      	-113.984947  	46.859755    	7.6     	17.0      	244.44   	407.94   	5.8     	88.9         	303        	64       	1.085836
12        	899.6   	15.6    	58    	0.7     	338   	0.3       	-0.6      	1047   	1047      	-113.984948  	46.859755    	7.5     	16.9      	244.37   	408.78   	5.8     	88.9         	302        	70       	1.085530
13        	899.0   	15.5    	58    	0.7     	345   	0.2       	-0.7      	1053   	1053      	-113.984949  	46.859755    	7.4     	16.8      	244.30   	409.62   	5.8     	88.9         	301        	75       	1.085199
14        	898.4   	15.4    	58    	0.7     	352   	0.1       	-0.7      	1059   	1059      	-113.984950  	46.859755    	7.3     	16.6      	244.22   	410.49   	6.0     	88.9         	300        	81       	1.084868
15        	897.8   	15.3    	58    	0.7     	359   	0.0       	-0.7      	1065   	1065      	-113.984952  	46.859756    	7.1     	16.5      	244.15   	411.34   	6.0     	88.9         	299        	87       	1.084538
16        	897.1   	15.2    	58    	0.7     	007   	-0.1      	-0.7      	1071   	1071      	-113.984953  	46.859751    	7.0     	16.4      	244.08   	412.21   	6.0     	89.0         	280        	93       	1.084208
17        	896.5   	15.0    	58    	0.7     	014   	-0.2      	-0.7      	1077   	1077      	-113.984955  	46.859745    	6.9     	16.3      	244.01   	413.08   	6.0     	89.0         	257        	99       	1.083878
18        	895.9   	14.9    	58    	0.7     	021   	-0.2      	-0.7      	1083   	1083      	-113.984957  	46.859739    	6.8     	16.1      	243.94   	413.94   	6.0     	88.8         	240        	105      	1.083548
19        	895.2   	14.8    	58    	0.7     	027   	-0.3      	-0.6      	1089   	1089      	-113.984959  	46.859733    	6.7     	16.0      	243.84   	414.79   	6.0     	88.7         	229        	111      	1.083134
20        	894.6   	14.8    	58    	0.7     	032   	-0.4      	-0.6      	1095   	1095      	-113.984960  	46.859727    	6.7     	16.0      	243.73   	415.61   	6.0     	88.4         	221        	117      	1.082602
21        	894.0   	14.7    	58    	0.7     	037   	-0.4      	-0.6      	1101   	1101      	-113.984962  	46.859721    	6.6     	15.9      	243.62   	416.43   	6.0     	88.2         	216        	123      	1.082070
22        	893.3   	14.7    	59    	0.7     	041   	-0.5      	-0.5      	1107   	1107      	-113.984964  	46.859715    	6.6     	15.8      	243.51   	417.26   	6.0     	88.0         	213        	129      	1.081539
23        	892.7   	14.6    	59    	0.7     	045   	-0.5      	-0.5      	1113   	1113      	-113.984966  	46.859709    	6.6     	15.8      	243.40   	418.09   	6.0     	87.9         	210        	135      	1.081008
24        	892.1   	14.5    	59    	0.7     	048   	-0.5      	-0.5      	1119   	1119      	-113.984967  	46.859703    	6.6     	15.7      	243.29   	418.93   	6.0     	87.7         	208        	141      	1.080477
25        	891.5   	14.5    	59    	0.7     	051   	-0.5      	-0.4      	1125   	1125      	-113.984969  	46.859697    	6.6     	15.7      	243.18   	419.74   	6.0     	87.5         	206        	147      	1.079945
26        	890.8   	14.4    	59    	0.7     	054   	-0.6      	-0.4      	1131   	1131      	-113.984971  	46.859691    	6.6     	15.6      	243.07   	420.58   	6.0     	87.4         	205        	153      	1.079414
27        	890.2   	14.3    	59    	0.7     	056   	-0.6      	-0.4      	1137   	1137      	-113.984973  	46.859685    	6.6     	15.5      	242.96   	421.41   	6.0     	87.2         	203        	159      	1.078883
28        	889.6   	14.3    	60    	0.7     	058   	-0.6      	-0.4      	1143   	1143      	-113.984975  	46.859679    	6.6     	15.5      	242.85   	422.23   	6.0     	87.1         	202        	165      	1.078352
29        	888.9   	14.2    	60    	0.7     	060   	-0.6      	-0.4      	1149   	1148      	-113.984976  	46.859673    	6.5     	15.4      	242.75   	423.06   	6.0     	87.0         	202        	171      	1.077822
30        	888.3   	14.2    	60    	0.7     	061   	-0.6      	-0.3      	1155   	1154      	-113.984978  	46.859667    	6.5     	15.3      	242.64   	423.89   	6.0     	86.9         	201        	177      	1.077292
31        	887.7   	14.1    	60    	0.7     	059   	-0.6      	-0.4      	1160   	1160      	-113.984980  	46.859661    	6.5     	15.3      	242.53   	424.71   	6.0     	86.8         	200        	183      	1.076761
32        	887.1   	14.1    	60    	0.7     	057   	-0.6      	-0.4      	1166   	1166      	-113.984982  	46.859655    	6.5     	15.2      	242.41   	425.53   	6.0     	86.7         	200        	189      	1.076181
33        	886.4   	14.0    	61    	0.7     	054   	-0.6      	-0.4      	1172   	1172      	-113.984983  	46.859649    	6.5     	15.2      	242.29   	426.35   	6.0     	86.6         	199        	195      	1.075594
34        	885.8   	14.0    	61    	0.7     	052   	-0.6      	-0.4      	1178   	1178      	-113.984985  	46.859643    	6.5     	15.1      	242.16   	427.17   	6.0     	86.5         	199        	201      	1.075006
35        	885.2   	13.9    	61    	0.8     	050   	-0.6      	-0.5      	1184   	1184      	-113.984987  	46.859637    	6.5     	15.1      	242.03   	427.97   	6.0     	86.4         	199        	207      	1.074419
36        	884.6   	13.9    	61    	0.8     	047   	-0.6      	-0.5      	1190   	1190      	-113.984989  	46.859631    	6.4     	15.0      	241.90   	428.78   	6.0     	86.3         	198        	213      	1.073833
37        	883.9   	13.8    	61    	0.8     	045   	-0.6      	-0.6      	1196   	1196      	-113.984991  	46.859625    	6.4     	15.0      	241.78   	429.60   	6.0     	86.2         	198        	219      	1.073246
38        	883.3   	13.8    	61    	0.8     	042   	-0.5      	-0.6      	1202   	1202      	-113.984992  	46.859619    	6.3     	15.0      	241.65   	430.39   	6.0     	86.2         	198        	225      	1.072659
39        	882.7   	13.7    	61    	0.8     	040   	-0.5      	-0.6      	1208   	1208      	-113.984994  	46.859614    	6.3     	14.9      	241.52   	431.21   	6.0     	86.1         	197        	231      	1.072073
40        	882.1   	13.7    	61    	0.8     	037   	-0.5      	-0.6      	1214   	1214      	-113.984996  	46.859608    	6.3     	14.9      	241.39   	432.02   	6.0     	86.0         	197        	237      	1.071487
41        	881.4   	13.6    	61    	0.8     	035   	-0.5      	-0.7      	1220   	1220      	-113.984998  	46.859602    	6.2     	14.8      	241.26   	432.82   	6.0     	86.0         	197        	243      	1.070901
42        	880.8   	13.6    	61    	0.8     	032   	-0.4      	-0.7      	1226   	1226      	-113.984999  	46.859596    	6.2     	14.8      	241.13   	433.63   	6.0     	85.9         	197        	249      	1.070316
43        	880.2   	13.5    	61    	0.8     	030   	-0.4      	-0.7      	1232   	1232      	-113.985001  	46.859590    	6.2     	14.7      	241.01   	434.45   	6.0     	85.9         	196        	255      	1.069758
44        	879.6   	13.5    	61    	0.8     	028   	-0.4      	-0.7      	1238   	1238      	-113.985003  	46.859584    	6.1     	14.7      	240.89   	435.27   	6.0     	85.8         	196        	261      	1.069199
45        	879.0   	13.5    	61    	0.8     	025   	-0.3      	-0.7      	1244   	1244      	-113.985005  	46.859578    	6.1     	14.6      	240.77   	436.07   	6.0     	85.8         	196        	267      	1.068637
46        	878.4   	13.4    	61    	0.8     	023   	-0.3      	-0.7      	1250   	1250      	-113.985009  	46.859573    	6.1     	14.6      	240.64   	436.89   	6.0     	85.7         	197        	273      	1.068075
47        	877.8   	13.4    	61    	0.8     	021   	-0.3      	-0.7      	1256   	1255      	-113.985015  	46.859569    	6.0     	14.5      	240.52   	437.63   	5.5     	85.7         	197        	279      	1.067514
48        	877.2   	13.3    	61    	0.8     	019   	-0.3      	-0.8      	1261   	1261      	-113.985021  	46.859564    	6.0     	14.5      	240.40   	438.32   	5.2     	85.6         	198        	284      	1.066953
49        	876.7   	13.3    	61    	0.9     	017   	-0.3      	-0.9      	1266   	1266      	-113.985027  	46.859560    	6.0     	14.4      	240.30   	439.03   	5.2     	85.6         	199        	289      	1.066465
50        	876.1   	13.2    	61    	0.9     	015   	-0.2      	-0.9      	1271   	1271      	-113.985033  	46.859556    	6.0     	14.4      	240.20   	439.74   	5.2     	85.6         	200        	294      	1.065978
51        	875.6   	13.2    	61    	0.9     	013   	-0.2      	-0.9      	1276   	1276      	-113.985039  	46.859552    	6.0     	14.3      	240.09   	440.46   	5.2     	85.5         	200        	300      	1.065491
