Time [mm:ss]	T [°C]    	U [%r H]	Tu Cap [°C]
00:25.2     	--        	--      	16.92
00:25.2     	0x51 30920	        	
00:25.6     	16.50     	66.1    	16.92
00:26.5     	16.57     	65.5    	16.92
00:27.4     	16.58     	65.3    	16.93
00:28.3     	16.63     	64.9    	16.94
00:29.2     	16.66     	64.8    	16.95
00:30.1     	16.68     	65.2    	16.96
00:31.0     	16.81     	64.9    	16.98
00:31.9     	17.00     	64.4    	16.99
00:32.8     	17.13     	64.1    	17.01
00:33.7     	17.21     	64.2    	17.03
00:34.6     	17.34     	64.2    	17.05
00:35.5     	17.43     	64.4    	17.04
00:36.4     	17.34     	65.8    	17.10
00:37.3     	17.36     	65.8    	17.13
00:38.1     	17.30     	64.8    	17.16
00:39.1     	16.95     	62.2    	17.16
00:40.0     	16.73     	62.9    	17.17
00:40.8     	16.50     	63.0    	17.18
00:41.7     	16.25     	62.9    	17.17
00:42.6     	15.97     	63.3    	17.15
00:43.6     	16.05     	64.0    	17.13
00:44.5     	16.09     	63.1    	17.10
00:45.4     	15.96     	62.7    	17.07
00:46.3     	15.84     	63.0    	17.03
00:47.1     	16.01     	63.3    	17.06
00:48.0     	16.01     	61.9    	17.07
00:49.0     	15.80     	62.6    	17.06
00:49.8     	15.72     	62.8    	17.04
00:50.7     	15.62     	63.7    	17.03
00:51.6     	15.65     	66.7    	17.03
00:52.5     	15.73     	67.9    	16.99
00:53.4     	15.58     	64.3    	17.01
00:54.3     	15.43     	64.4    	17.02
00:55.2     	15.35     	64.3    	17.02
00:56.1     	15.38     	66.1    	17.03
00:57.0     	15.56     	65.6    	17.04
00:57.9     	15.49     	65.0    	17.07
00:58.8     	15.28     	64.4    	17.05
00:59.7     	15.17     	64.4    	17.09
01:00.5     	15.18     	65.9    	17.10
01:01.5     	15.16     	66.0    	17.10
01:02.4     	15.26     	69.2    	17.09
01:03.2     	15.49     	68.5    	17.09
01:04.1     	15.68     	67.5    	17.07
01:05.0     	15.71     	65.0    	17.06
01:06.0     	15.66     	66.9    	17.07
01:06.9     	15.70     	65.3    	17.06
01:07.8     	15.77     	64.7    	17.04
01:08.6     	15.68     	63.7    	17.01
01:09.5     	15.70     	64.9    	16.98
01:10.4     	15.98     	65.0    	16.96
01:11.3     	16.21     	62.9    	16.99
01:12.2     	16.03     	62.6    	16.99
01:13.1     	15.90     	64.1    	16.99
01:14.0     	15.87     	64.1    	16.97
01:14.9     	15.65     	63.3    	16.94
01:15.8     	15.47     	63.8    	16.95
01:16.7     	15.50     	64.3    	16.96
01:17.6     	16.08     	62.8    	17.01
01:18.5     	16.46     	60.8    	17.05
01:19.4     	16.86     	59.3    	17.10
01:20.3     	17.39     	57.7    	17.13
01:21.2     	18.12     	55.5    	17.11
01:22.1     	18.69     	53.3    	17.15
01:23.0     	19.21     	51.6    	17.18
01:23.9     	19.41     	50.7    	17.25
01:24.7     	19.57     	50.4    	17.23
01:25.6     	19.75     	49.9    	17.20
01:26.5     	19.93     	49.0    	17.33
01:27.5     	19.99     	49.4    	17.36
01:28.4     	20.12     	49.1    	17.38
01:29.3     	20.20     	48.9    	17.43
01:30.1     	20.20     	49.3    	17.49
01:31.0     	20.25     	49.6    	17.59
01:31.9     	20.16     	50.3    	17.57
01:32.8     	20.17     	50.3    	17.72
01:33.7     	20.27     	50.4    	17.78
01:34.6     	20.24     	50.8    	17.83
01:35.5     	20.47     	49.5    	17.94
01:36.4     	20.48     	49.6    	18.03
01:37.3     	20.61     	49.1    	18.08
01:38.1     	20.61     	49.0    	18.13
01:39.1     	20.74     	48.6    	18.18
01:40.0     	20.86     	48.3    	18.23
01:40.9     	20.73     	48.9    	18.15
01:41.8     	20.74     	48.8    	18.20
01:42.7     	20.38     	50.6    	18.24
01:43.6     	20.23     	51.2    	18.28
01:44.5     	20.26     	51.8    	18.32
01:45.4     	20.27     	51.8    	18.36
01:46.2     	20.28     	51.9    	18.39
01:47.1     	20.54     	51.3    	18.43
01:48.0     	20.71     	50.9    	18.46
01:48.9     	20.65     	51.2    	18.51
01:49.8     	20.75     	50.8    	18.54
01:50.8     	20.79     	50.5    	18.58
01:51.6     	20.75     	50.1    	18.62
01:52.6     	20.84     	49.3    	18.66
01:53.5     	20.84     	48.9    	18.70
01:54.3     	20.83     	48.5    	18.64
01:55.2     	20.55     	49.5    	18.61
01:56.5     	20.27     	50.5    	18.69
01:57.0     	20.72     	48.5    	18.86
01:57.9     	20.70     	48.9    	18.89
01:58.8     	20.66     	49.1    	18.93
01:59.6     	20.73     	48.7    	18.97
02:00.6     	20.70     	48.6    	19.02
02:01.6     	20.62     	48.6    	19.21
02:02.4     	20.96     	48.0    	19.26
02:03.3     	20.35     	48.9    	19.29
