Time [mm:ss]	T [°C]	U [%r H]     	Tu Cap [°C]
09:42.2     	--    	51.0         	
09:42.2     	23.92 	0xFE 20028127	
09:42.8     	24.03 	50.5         	23.94
09:43.7     	23.99 	50.3         	23.97
09:44.6     	23.95 	50.7         	23.99
09:45.6     	23.85 	51.1         	24.02
09:46.0     	23.76 	51.1         	24.01
09:46.5     	23.70 	51.4         	24.03
09:47.4     	23.61 	51.4         	24.04
09:48.2     	23.55 	51.5         	24.06
09:49.1     	23.46 	52.4         	24.08
09:50.0     	23.37 	53.3         	24.08
09:50.8     	23.28 	54.1         	24.09
09:51.8     	23.29 	55.7         	24.12
09:52.7     	23.28 	55.3         	24.14
09:53.6     	23.26 	55.1         	24.16
09:54.5     	23.27 	57.7         	24.17
09:55.4     	23.28 	60.3         	24.19
09:56.3     	23.24 	59.3         	24.20
09:57.2     	23.20 	59.1         	24.21
09:58.6     	23.15 	58.8         	24.21
09:58.7     	23.15 	58.8         	24.21
09:58.9     	22.89 	57.6         	24.22
09:59.8     	22.80 	57.6         	24.24
10:00.7     	22.69 	57.6         	24.23
10:01.6     	22.57 	55.9         	24.23
10:02.5     	22.48 	55.2         	24.22
10:03.4     	22.39 	56.1         	24.22
10:04.4     	22.40 	55.7         	24.22
10:05.3     	22.38 	55.3         	24.21
10:06.2     	22.32 	54.5         	24.19
10:07.0     	22.25 	54.6         	24.18
10:07.9     	22.28 	54.7         	24.17
10:08.8     	22.35 	56.9         	24.15
10:09.7     	22.48 	59.9         	24.16
10:10.6     	22.80 	58.9         	24.20
10:11.5     	23.17 	58.6         	24.14
10:12.4     	23.56 	57.2         	24.21
10:13.3     	23.98 	58.0         	24.04
10:14.2     	24.32 	57.1         	24.14
10:15.1     	24.52 	57.5         	24.11
10:16.0     	24.80 	57.2         	24.17
10:16.9     	25.28 	54.4         	24.30
10:17.8     	25.57 	54.8         	24.39
10:18.7     	25.76 	54.6         	24.24
10:19.6     	26.10 	53.1         	24.45
10:20.5     	25.82 	55.1         	24.52
10:21.4     	26.96 	51.0         	24.40
10:22.7     	28.11 	46.9         	24.49
10:23.1     	26.74 	52.6         	24.61
10:24.0     	26.51 	52.0         	24.72
10:24.3     	26.51 	53.1         	24.42
10:24.9     	26.61 	52.8         	24.46
10:25.8     	26.83 	52.5         	24.51
10:26.1     	26.61 	52.5         	24.39
10:26.8     	27.12 	52.9         	24.28
10:27.7     	28.08 	49.4         	24.55
10:28.5     	28.46 	48.6         	24.82
10:29.7     	28.84 	47.5         	24.64
10:30.4     	29.02 	46.3         	24.73
10:31.0     	29.58 	46.3         	24.73
10:31.2     	29.23 	43.8         	24.72
10:32.1     	29.46 	43.2         	24.79
10:33.0     	29.63 	42.8         	24.83
10:33.9     	29.78 	42.1         	24.87
10:34.8     	29.90 	41.1         	24.95
10:35.7     	30.08 	39.4         	25.04
10:36.6     	30.14 	38.9         	25.04
10:37.5     	30.24 	37.8         	25.03
10:38.4     	30.19 	37.3         	25.15
10:39.3     	30.21 	36.8         	25.26
