Time [sec]	P [hPa] 	T [°C]  	Hu [%]	Ws [m/s]	Wd [°]	Ws U [m/s]	Ws V [m/s]	Alt [m]	Geopot [m]	Lon [°]      	Lat [°]      	Dew [°C]	Vi Te [°C]	RI       	MRI      	Rs [m/s]	Elevation [°]	Azimuth [°]	Range [m]	D [kg/m3]
0         	902.2   	22.4    	55    	0.7     	131   	-0.5      	0.5       	1283   	1283      	-113.985020  	46.859690    	12.9    	24.2      	239.23   	440.66   	0.0     	46.9         	360        	1        	1.063628
1         	999999.0	22.5    	999999	0.7     	131   	-0.5      	0.5       	1001282	999999    	999999.000000	999999.000000	999999.0	999999.0  	999999.00	999999.00	999999.0	-62.7        	174        	12390937 	999999.000000
2         	999999.0	22.7    	999999	0.7     	132   	-0.5      	0.5       	1001282	999999    	999999.000000	999999.000000	999999.0	999999.0  	999999.00	999999.00	999999.0	-62.7        	174        	12390937 	999999.000000
3         	999999.0	22.8    	999999	0.7     	132   	-0.5      	0.5       	1001282	999999    	999999.000000	999999.000000	999999.0	999999.0  	999999.00	999999.00	999999.0	-62.7        	174        	12390937 	999999.000000
4         	999999.0	23.0    	999999	0.7     	133   	-0.5      	0.5       	1001282	999999    	999999.000000	999999.000000	999999.0	999999.0  	999999.00	999999.00	999999.0	-62.7        	174        	12390937 	999999.000000
5         	999999.0	23.1    	999999	0.7     	134   	-0.5      	0.5       	1001282	999999    	999999.000000	999999.000000	999999.0	999999.0  	999999.00	999999.00	999999.0	-62.7        	174        	12390937 	999999.000000
6         	999999.0	23.3    	999999	0.6     	134   	-0.4      	0.4       	1001282	999999    	999999.000000	999999.000000	999999.0	999999.0  	999999.00	999999.00	999999.0	-62.7        	174        	12390937 	999999.000000
7         	901.4   	23.2    	47    	0.6     	135   	-0.4      	0.4       	1291   	1291      	-113.984967  	46.859744    	11.1    	24.8      	238.01   	440.69   	1.1     	48.2         	032        	11       	1.059789
8         	901.3   	23.1    	46    	0.6     	135   	-0.4      	0.4       	1292   	1292      	-113.984960  	46.859752    	10.9    	24.8      	238.00   	440.86   	1.1     	48.0         	032        	13       	1.059886
9         	901.1   	23.1    	46    	0.6     	136   	-0.4      	0.4       	1293   	1293      	-113.984952  	46.859759    	10.8    	24.7      	238.02   	441.06   	1.1     	47.9         	033        	14       	1.059984
10        	901.0   	23.0    	46    	0.6     	137   	-0.4      	0.4       	1294   	1294      	-113.984945  	46.859767    	10.8    	24.6      	238.05   	441.27   	1.1     	48.1         	033        	16       	1.060081
11        	900.9   	22.9    	46    	0.6     	137   	-0.4      	0.4       	1296   	1296      	-113.984937  	46.859775    	10.7    	24.5      	238.07   	441.46   	1.1     	48.0         	033        	17       	1.060179
12        	900.8   	22.9    	46    	0.6     	138   	-0.4      	0.4       	1297   	1297      	-113.984930  	46.859782    	10.7    	24.5      	238.10   	441.68   	1.1     	48.1         	033        	19       	1.060276
13        	900.7   	22.8    	46    	0.6     	139   	-0.4      	0.4       	1298   	1298      	-113.984922  	46.859790    	10.6    	24.4      	238.12   	441.87   	1.1     	48.0         	033        	20       	1.060374
14        	900.6   	22.7    	46    	0.6     	139   	-0.4      	0.5       	1299   	1299      	-113.984915  	46.859798    	10.6    	24.3      	238.14   	442.07   	1.1     	47.9         	033        	22       	1.060471
15        	900.4   	22.7    	46    	0.6     	140   	-0.4      	0.5       	1300   	1300      	-113.984907  	46.859805    	10.5    	24.3      	238.17   	442.28   	1.1     	48.0         	033        	24       	1.060569
16        	900.3   	22.6    	46    	0.6     	141   	-0.4      	0.5       	1301   	1301      	-113.984900  	46.859813    	10.5    	24.2      	238.19   	442.48   	1.1     	48.0         	033        	25       	1.060666
17        	900.2   	22.5    	46    	0.6     	142   	-0.4      	0.5       	1302   	1302      	-113.984899  	46.859813    	10.4    	24.1      	238.22   	442.69   	1.1     	49.6         	033        	26       	1.060764
18        	900.1   	22.5    	46    	0.5     	142   	-0.3      	0.4       	1304   	1304      	-113.984903  	46.859807    	10.4    	24.0      	238.24   	442.89   	1.1     	52.3         	034        	26       	1.060862
19        	900.0   	22.4    	46    	0.5     	143   	-0.3      	0.4       	1305   	1305      	-113.984907  	46.859801    	10.3    	24.0      	238.27   	443.09   	1.1     	55.0         	034        	27       	1.060981
20        	899.8   	22.3    	46    	0.5     	144   	-0.3      	0.4       	1306   	1306      	-113.984911  	46.859795    	10.3    	23.9      	238.30   	443.32   	1.1     	57.7         	035        	27       	1.061127
21        	899.7   	22.2    	46    	0.5     	145   	-0.3      	0.4       	1307   	1307      	-113.984915  	46.859789    	10.2    	23.8      	238.34   	443.53   	1.1     	60.1         	035        	28       	1.061272
22        	899.6   	22.2    	47    	0.5     	146   	-0.3      	0.4       	1308   	1308      	-113.984919  	46.859783    	10.2    	23.7      	238.38   	443.74   	1.1     	62.5         	036        	29       	1.061418
23        	899.5   	22.1    	47    	0.5     	147   	-0.3      	0.4       	1309   	1309      	-113.984923  	46.859777    	10.2    	23.6      	238.42   	443.96   	1.1     	64.8         	036        	29       	1.061563
24        	899.4   	22.0    	47    	0.5     	148   	-0.3      	0.4       	1310   	1310      	-113.984926  	46.859771    	10.1    	23.5      	238.46   	444.17   	1.1     	66.9         	037        	30       	1.061709
25        	899.3   	21.9    	47    	0.5     	149   	-0.3      	0.4       	1312   	1311      	-113.984930  	46.859765    	10.1    	23.5      	238.50   	444.40   	1.1     	69.0         	038        	31       	1.061855
26        	899.1   	21.9    	47    	0.5     	150   	-0.3      	0.4       	1313   	1313      	-113.984934  	46.859759    	10.0    	23.4      	238.53   	444.61   	1.1     	70.9         	039        	32       	1.062000
27        	899.0   	21.8    	47    	0.5     	151   	-0.2      	0.4       	1314   	1314      	-113.984938  	46.859753    	10.0    	23.3      	238.57   	444.82   	1.1     	72.7         	040        	33       	1.062146
28        	898.9   	21.7    	47    	0.4     	152   	-0.2      	0.4       	1315   	1315      	-113.984942  	46.859747    	10.0    	23.2      	238.61   	445.05   	1.1     	74.5         	041        	34       	1.062292
29        	898.8   	21.6    	47    	0.4     	153   	-0.2      	0.4       	1316   	1316      	-113.984946  	46.859741    	9.9     	23.1      	238.65   	445.26   	1.1     	76.1         	043        	34       	1.062438
30        	898.7   	21.5    	47    	0.4     	155   	-0.2      	0.4       	1317   	1317      	-113.984950  	46.859735    	9.9     	23.0      	238.69   	445.49   	1.1     	77.6         	044        	35       	1.062584
31        	898.6   	21.5    	48    	0.4     	151   	-0.2      	0.4       	1318   	1318      	-113.984954  	46.859729    	9.9     	23.0      	238.73   	445.70   	1.1     	79.1         	047        	36       	1.062730
32        	898.4   	21.4    	48    	0.5     	148   	-0.3      	0.4       	1319   	1319      	-113.984958  	46.859723    	9.8     	22.9      	238.76   	445.91   	1.1     	80.4         	049        	37       	1.062875
33        	898.3   	21.3    	48    	0.5     	144   	-0.3      	0.4       	1321   	1321      	-113.984962  	46.859717    	9.8     	22.8      	238.79   	446.13   	1.1     	81.7         	052        	38       	1.062980
34        	898.2   	21.2    	48    	0.5     	139   	-0.3      	0.4       	1322   	1322      	-113.984966  	46.859711    	9.8     	22.7      	238.82   	446.33   	1.1     	82.8         	056        	39       	1.063084
35        	898.1   	21.2    	48    	0.5     	134   	-0.4      	0.3       	1323   	1323      	-113.984970  	46.859705    	9.8     	22.7      	238.85   	446.53   	1.1     	83.9         	061        	40       	1.063189
36        	898.0   	21.1    	48    	0.5     	129   	-0.4      	0.3       	1324   	1324      	-113.984974  	46.859699    	9.7     	22.6      	238.89   	446.75   	1.1     	84.8         	068        	42       	1.063294
37        	897.8   	21.0    	48    	0.5     	123   	-0.4      	0.3       	1325   	1325      	-113.984978  	46.859693    	9.7     	22.5      	238.92   	446.96   	1.1     	85.6         	077        	43       	1.063398
38        	897.7   	21.0    	49    	0.5     	117   	-0.4      	0.2       	1326   	1326      	-113.984982  	46.859687    	9.7     	22.5      	238.95   	447.18   	1.1     	86.2         	089        	44       	1.063503
39        	897.6   	20.9    	49    	0.5     	111   	-0.5      	0.2       	1327   	1327      	-113.984986  	46.859681    	9.7     	22.4      	238.98   	447.38   	1.1     	86.6         	103        	45       	1.063608
40        	897.5   	20.8    	49    	0.5     	104   	-0.5      	0.1       	1329   	1329      	-113.984990  	46.859675    	9.7     	22.3      	239.01   	447.58   	1.1     	86.7         	119        	46       	1.063712
41        	897.4   	20.8    	49    	0.6     	098   	-0.6      	0.1       	1330   	1330      	-113.984994  	46.859669    	9.7     	22.3      	239.04   	447.80   	1.1     	86.6         	135        	47       	1.063817
42        	897.3   	20.7    	49    	0.6     	092   	-0.6      	0.0       	1331   	1331      	-113.984998  	46.859663    	9.7     	22.2      	239.07   	448.01   	1.1     	86.3         	147        	48       	1.063922
43        	897.1   	20.6    	49    	0.6     	087   	-0.6      	0.0       	1332   	1332      	-113.985002  	46.859657    	9.7     	22.1      	239.10   	448.23   	1.1     	85.9         	157        	50       	1.064027
44        	897.0   	20.6    	49    	0.6     	082   	-0.6      	-0.1      	1333   	1333      	-113.985006  	46.859651    	9.6     	22.0      	239.13   	448.43   	1.1     	85.4         	165        	51       	1.064132
45        	896.9   	20.5    	50    	0.6     	077   	-0.6      	-0.1      	1334   	1334      	-113.985010  	46.859645    	9.7     	22.0      	239.13   	448.60   	1.1     	84.8         	171        	52       	1.064099
46        	896.8   	20.5    	50    	0.6     	073   	-0.6      	-0.2      	1335   	1335      	-113.985020  	46.859639    	9.7     	22.0      	239.10   	448.76   	1.1     	84.2         	180        	53       	1.063917
47        	896.7   	20.6    	50    	0.6     	069   	-0.6      	-0.2      	1337   	1336      	-113.985034  	46.859632    	9.7     	22.1      	239.06   	448.89   	1.1     	83.5         	190        	54       	1.063735
48        	896.5   	20.6    	50    	0.6     	065   	-0.5      	-0.2      	1338   	1338      	-113.985049  	46.859626    	9.8     	22.1      	239.02   	449.03   	1.1     	82.6         	198        	55       	1.063553
49        	896.4   	20.6    	50    	0.6     	062   	-0.5      	-0.3      	1339   	1339      	-113.985063  	46.859619    	9.8     	22.1      	238.99   	449.18   	1.1     	81.7         	204        	57       	1.063372
50        	896.3   	20.6    	50    	0.7     	060   	-0.6      	-0.4      	1340   	1340      	-113.985078  	46.859612    	9.8     	22.1      	238.95   	449.31   	1.1     	80.7         	208        	58       	1.063190
51        	896.2   	20.6    	50    	0.7     	057   	-0.6      	-0.4      	1341   	1341      	-113.985093  	46.859606    	9.9     	22.1      	238.91   	449.46   	1.1     	79.8         	212        	59       	1.063008
52        	896.1   	20.6    	50    	0.7     	055   	-0.6      	-0.4      	1342   	1342      	-113.985107  	46.859599    	9.9     	22.1      	238.87   	449.60   	1.1     	78.8         	214        	61       	1.062827
53        	896.0   	20.6    	50    	0.7     	053   	-0.6      	-0.4      	1343   	1343      	-113.985122  	46.859593    	9.9     	22.1      	238.83   	449.73   	1.1     	77.9         	217        	62       	1.062645
54        	895.8   	20.6    	50    	0.7     	051   	-0.5      	-0.4      	1345   	1344      	-113.985136  	46.859586    	9.9     	22.2      	238.79   	449.88   	1.1     	77.0         	218        	64       	1.062464
55        	895.7   	20.7    	50    	0.7     	049   	-0.5      	-0.5      	1346   	1346      	-113.985151  	46.859579    	10.0    	22.2      	238.76   	450.02   	1.1     	76.1         	220        	65       	1.062282
56        	895.6   	20.7    	50    	0.7     	048   	-0.5      	-0.5      	1347   	1347      	-113.985165  	46.859573    	10.0    	22.2      	238.72   	450.17   	1.1     	75.3         	221        	66       	1.062101
57        	895.5   	20.7    	50    	0.7     	047   	-0.5      	-0.5      	1348   	1348      	-113.985180  	46.859566    	10.0    	22.2      	238.68   	450.30   	1.1     	74.5         	222        	68       	1.061919
