Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:00.8     	--    	--      	--
00:00.8     	      	        	
00:01.1     	--    	47.4    	--
00:02.0     	--    	47.7    	--
00:03.0     	--    	47.9    	--
00:03.7     	22.49 	51.7    	23.81
00:04.5     	22.45 	56.6    	23.81
00:05.4     	22.45 	57.2    	23.81
00:06.3     	22.49 	57.8    	23.80
00:07.2     	22.57 	57.4    	23.80
00:08.1     	22.62 	57.8    	23.80
00:09.0     	22.68 	57.9    	23.80
00:09.9     	22.75 	57.9    	23.80
00:10.8     	22.86 	58.0    	23.80
00:11.8     	22.93 	58.5    	23.80
00:12.6     	22.99 	59.3    	23.81
00:13.5     	23.08 	60.8    	23.81
00:14.4     	23.27 	61.3    	23.82
00:15.3     	23.41 	62.2    	23.83
00:16.2     	23.53 	62.1    	23.84
00:17.1     	23.57 	58.2    	23.85
00:17.9     	23.37 	55.8    	23.85
00:18.8     	23.24 	54.9    	23.86
00:19.7     	23.06 	53.0    	23.86
00:20.7     	22.85 	53.1    	23.86
00:21.6     	22.74 	54.4    	23.86
00:22.7     	22.62 	55.6    	23.86
00:22.9     	22.62 	55.6    	23.86
00:23.4     	22.62 	54.9    	23.87
00:24.3     	22.62 	55.9    	23.87
00:25.2     	22.63 	57.4    	23.88
00:26.0     	22.65 	55.4    	23.88
00:26.9     	22.58 	55.4    	23.89
00:27.8     	22.53 	55.9    	23.89
00:28.7     	22.52 	56.4    	23.90
00:29.6     	22.60 	56.3    	23.91
00:30.5     	22.71 	56.6    	23.92
00:31.4     	22.81 	57.9    	23.93
00:32.3     	22.90 	57.8    	23.94
00:33.2     	23.00 	57.8    	23.95
00:34.1     	23.15 	58.2    	23.97
00:35.0     	23.26 	58.5    	23.98
00:35.9     	23.37 	58.5    	23.99
00:37.0     	23.47 	59.2    	24.01
00:37.7     	23.29 	59.3    	24.02
00:38.6     	23.16 	58.4    	24.03
00:39.4     	23.18 	58.3    	24.04
00:40.3     	23.17 	60.5    	24.05
00:41.2     	23.27 	60.7    	24.06
00:42.2     	23.38 	60.5    	24.07
00:43.1     	23.33 	59.7    	24.08
00:44.0     	23.31 	60.0    	24.09
00:44.9     	23.39 	60.1    	24.09
00:45.7     	23.33 	58.9    	24.10
00:46.7     	23.29 	58.7    	24.11
00:47.5     	23.15 	58.5    	24.11
00:48.4     	23.10 	59.5    	24.11
00:49.8     	23.04 	58.7    	24.12
00:50.2     	22.95 	59.2    	24.12
00:51.2     	23.02 	59.8    	24.12
00:52.1     	23.08 	60.3    	24.12
00:52.9     	23.13 	60.6    	24.12
00:53.8     	23.10 	59.8    	24.12
00:54.7     	23.05 	60.2    	24.12
00:55.6     	23.09 	60.1    	24.12
00:56.5     	23.20 	59.4    	24.12
00:57.4     	23.21 	59.1    	24.12
00:58.7     	23.22 	58.7    	24.12
00:58.9     	23.22 	58.7    	24.12
00:59.1     	23.25 	56.7    	24.12
01:00.0     	22.94 	55.3    	24.12
01:01.0     	22.78 	56.0    	24.12
01:01.9     	22.82 	58.0    	24.12
01:02.8     	22.71 	56.7    	24.11
01:03.7     	22.63 	57.9    	24.11
01:04.6     	22.53 	57.4    	24.10
01:05.5     	22.33 	55.2    	24.09
01:06.3     	22.24 	55.2    	24.06
01:07.2     	22.29 	56.0    	24.04
01:08.1     	22.36 	55.9    	24.02
01:09.0     	22.43 	56.1    	24.01
01:09.9     	22.51 	58.0    	24.00
01:10.9     	22.53 	58.0    	23.99
01:11.8     	22.58 	57.9    	23.98
01:12.7     	22.43 	55.5    	23.96
01:13.6     	22.34 	55.6    	23.94
01:14.4     	22.29 	57.3    	23.92
01:15.3     	22.26 	55.9    	23.90
01:16.2     	22.29 	55.8    	23.87
01:17.1     	22.36 	57.1    	23.84
01:18.0     	22.47 	58.3    	23.81
01:18.9     	22.52 	57.1    	23.80
01:19.8     	22.52 	57.4    	23.77
01:20.6     	22.58 	58.0    	23.76
01:21.6     	22.57 	56.4    	23.74
01:22.5     	22.48 	56.8    	23.72
01:23.4     	22.46 	56.3    	23.70
01:24.3     	22.45 	55.4    	23.68
01:25.2     	22.43 	54.7    	23.66
01:26.1     	22.44 	54.6    	23.64
01:27.0     	22.46 	54.0    	23.62
01:27.9     	22.43 	55.2    	23.61
01:28.7     	22.46 	54.8    	23.59
01:29.6     	22.49 	57.2    	23.58
01:31.0     	22.51 	59.6    	23.57
01:31.4     	22.33 	54.1    	23.55
01:32.4     	22.28 	53.6    	23.54
01:33.3     	22.20 	53.5    	23.52
01:34.2     	22.17 	53.7    	23.51
01:35.0     	22.19 	53.6    	23.50
01:35.9     	22.21 	53.6    	23.49
01:36.8     	22.20 	54.6    	23.47
01:37.7     	22.23 	55.2    	23.46
01:38.6     	22.27 	55.5    	23.44
01:39.5     	22.25 	53.8    	23.42
01:40.4     	22.22 	53.6    	23.41
01:41.4     	22.17 	54.6    	23.40
01:42.2     	22.15 	55.5    	23.39
01:43.1     	22.15 	56.4    	23.37
01:43.8     	22.15 	56.4    	23.37
01:44.0     	22.12 	57.6    	23.36
01:44.9     	22.13 	56.6    	23.35
01:45.8     	22.16 	57.4    	23.33
01:46.9     	22.19 	55.7    	23.32
01:47.5     	22.02 	55.8    	23.31
01:48.4     	22.03 	57.4    	23.30
01:49.3     	22.09 	55.5    	23.29
01:50.2     	22.06 	56.6    	23.28
01:51.1     	21.98 	56.5    	23.27
01:52.1     	22.06 	57.4    	23.26
01:53.0     	22.16 	55.8    	23.25
