Time [mm:ss]	T [°C]	U [%r H]   	Tu Cap [°C]
00:00.7     	--    	56.2       	
00:00.7     	--    	0x07 -3.720	
00:01.7     	--    	55.9       	--
00:02.6     	--    	57.2       	--
00:03.5     	--    	52.9       	--
00:04.4     	--    	47.5       	--
00:05.2     	--    	48.9       	--
00:06.2     	--    	47.6       	--
00:07.1     	--    	49.0       	--
00:07.9     	--    	52.9       	--
00:08.6     	16.07 	55.5       	17.23
00:09.5     	16.21 	62.1       	17.24
00:10.4     	16.38 	59.2       	17.24
00:11.2     	16.25 	54.4       	17.23
00:12.2     	15.98 	54.1       	17.21
00:13.1     	15.89 	54.5       	17.18
00:14.0     	15.79 	55.0       	17.15
00:14.9     	15.62 	53.4       	17.08
00:15.8     	15.55 	55.2       	17.05
00:16.7     	15.56 	53.5       	17.00
00:17.6     	15.41 	55.3       	16.95
00:18.5     	15.53 	56.9       	16.95
00:19.3     	15.56 	56.4       	16.92
00:20.2     	15.65 	59.6       	16.92
00:21.1     	15.83 	59.0       	16.92
00:22.0     	15.93 	57.7       	16.92
00:22.9     	16.12 	59.8       	16.92
00:23.9     	16.45 	61.3       	16.93
00:24.8     	16.56 	59.7       	16.98
00:25.7     	16.80 	60.4       	17.00
00:27.1     	16.56 	61.1       	17.03
00:27.4     	17.18 	62.4       	17.11
00:28.3     	17.35 	60.0       	17.14
00:29.2     	17.16 	57.8       	17.16
00:30.1     	16.79 	56.6       	17.17
00:31.0     	16.36 	54.3       	17.16
00:31.9     	16.11 	56.0       	17.15
00:32.8     	16.02 	55.5       	17.15
00:33.7     	15.67 	53.3       	17.16
00:34.6     	15.38 	51.9       	17.16
00:35.4     	15.07 	50.9       	17.13
00:36.3     	14.92 	52.0       	17.12
00:37.4     	15.07 	56.3       	17.09
00:38.2     	15.30 	58.0       	17.05
00:39.1     	15.47 	56.6       	17.02
00:40.0     	15.43 	53.8       	17.00
00:40.9     	15.50 	58.9       	16.96
00:41.8     	15.79 	59.7       	16.98
00:42.7     	16.01 	59.8       	17.00
00:43.6     	15.85 	57.5       	17.02
00:44.5     	16.12 	60.7       	17.06
00:45.4     	16.36 	61.5       	17.11
00:46.2     	16.53 	58.6       	17.14
00:47.1     	16.44 	59.5       	17.17
00:48.0     	16.32 	58.6       	17.20
00:49.1     	16.20 	62.4       	17.25
00:49.8     	16.45 	59.4       	17.29
00:50.8     	16.37 	57.6       	17.32
00:51.6     	16.37 	59.0       	17.35
00:52.6     	16.56 	61.4       	17.38
00:53.5     	16.73 	60.5       	17.43
00:54.3     	17.01 	59.9       	17.45
00:55.2     	17.26 	60.1       	17.51
00:56.1     	17.43 	63.6       	17.56
00:57.0     	17.55 	61.4       	17.68
00:57.9     	17.65 	60.0       	17.72
00:58.8     	17.47 	58.6       	17.71
00:59.6     	17.45 	57.3       	17.70
01:00.5     	17.40 	57.6       	17.76
01:01.5     	17.33 	57.4       	17.82
01:02.4     	17.42 	59.2       	17.85
01:03.3     	17.45 	56.4       	17.94
01:04.2     	17.37 	56.4       	18.00
01:05.7     	17.29 	56.4       	18.06
01:06.0     	17.29 	59.2       	18.03
01:06.9     	17.23 	56.9       	18.05
01:07.8     	17.09 	55.7       	18.06
01:08.7     	16.91 	54.9       	18.12
01:09.6     	16.85 	57.3       	18.10
01:10.5     	16.73 	58.6       	18.12
01:11.3     	16.78 	57.7       	18.15
01:12.2     	16.84 	57.5       	18.17
01:13.1     	16.87 	58.1       	18.23
01:14.0     	16.87 	58.5       	18.26
01:14.9     	16.93 	59.1       	18.29
01:15.8     	17.05 	62.7       	18.30
01:16.8     	17.10 	61.9       	18.30
01:17.7     	17.06 	59.7       	18.31
01:18.6     	17.11 	60.2       	18.33
01:19.4     	17.30 	64.3       	18.35
01:20.3     	17.46 	57.1       	18.37
01:21.2     	17.34 	51.5       	18.43
01:22.1     	17.32 	52.8       	18.56
01:23.0     	17.33 	55.7       	18.69
01:23.9     	17.45 	57.3       	18.82
