Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
00:01.6     	--    	57.7        	
00:01.6     	--    	0x06 -50.314	
00:02.5     	--    	57.9        	--
00:03.2     	14.57 	60.1        	15.29
00:04.1     	14.75 	62.1        	15.29
00:04.9     	14.79 	60.5        	15.30
00:05.8     	14.66 	60.1        	15.32
00:06.7     	14.56 	59.9        	15.34
00:07.6     	14.53 	61.7        	15.35
00:08.5     	14.53 	62.9        	15.36
00:09.5     	14.54 	63.8        	15.37
00:10.3     	14.55 	64.3        	15.35
00:11.2     	14.54 	64.6        	15.35
00:12.2     	14.52 	62.8        	15.35
00:13.0     	14.47 	61.0        	15.35
00:13.9     	14.58 	62.7        	15.32
00:14.8     	14.68 	62.3        	15.32
00:15.7     	14.63 	61.2        	15.33
00:16.6     	14.56 	60.0        	15.34
00:17.5     	14.48 	59.6        	15.34
00:18.3     	14.51 	60.0        	15.38
00:19.2     	14.53 	60.5        	15.38
00:20.2     	14.50 	60.4        	15.38
00:21.1     	14.50 	60.2        	15.38
00:22.0     	14.48 	60.3        	15.38
00:22.9     	14.49 	60.5        	15.38
00:23.8     	14.54 	61.0        	15.38
00:24.7     	14.65 	61.3        	15.39
00:25.6     	14.60 	60.5        	15.39
00:26.4     	14.57 	60.3        	15.39
00:27.8     	14.60 	60.0        	15.40
00:28.8     	14.63 	60.0        	15.40
00:29.0     	14.63 	--          	--
00:29.2     	14.53 	--          	--
00:29.4     	14.57 	--          	15.40
00:30.1     	14.53 	--          	15.41
00:31.0     	14.51 	60.0        	15.40
00:31.8     	14.43 	59.6        	15.38
00:32.7     	14.35 	57.4        	15.36
00:33.8     	14.27 	57.0        	15.37
00:34.8     	14.43 	56.5        	15.35
00:35.8     	14.51 	56.5        	15.34
00:36.3     	14.14 	58.1        	15.34
00:37.2     	14.15 	58.2        	15.33
00:38.1     	14.16 	58.4        	15.30
00:39.1     	14.16 	59.0        	15.28
00:39.9     	14.15 	59.4        	15.26
00:40.8     	14.19 	60.3        	15.26
00:41.7     	14.22 	60.5        	15.25
00:42.6     	14.23 	61.1        	15.23
00:43.5     	14.28 	60.7        	15.22
00:44.4     	14.31 	59.9        	15.22
00:45.2     	14.35 	59.9        	15.21
00:46.1     	14.29 	58.9        	15.21
00:47.1     	14.23 	58.5        	15.20
00:48.0     	14.22 	59.4        	15.20
00:48.9     	14.23 	59.5        	15.19
00:49.8     	14.28 	61.4        	15.19
00:50.6     	14.30 	59.8        	15.17
00:51.5     	14.33 	59.1        	15.16
00:52.5     	14.36 	58.6        	15.14
00:53.3     	14.29 	58.5        	15.14
00:54.2     	14.10 	57.0        	15.14
00:55.1     	13.98 	58.1        	15.13
