alt_of_detection_km,lat_of_detection,lon_of_detection,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group_vel_ms,int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms,degreeofpolarization,stokes_param_Q
14.67,46.597411,-113.602723,1.18092719127436,59.9419930067584,-4.6389992669719,4.17022321792585,-0.0761817073616085,3.86686275297351,0.0808295516055101,4.10277996211475,0.905083790355543,0.218397759355716
15.8825,46.58406,-113.591422,0.814537374573932,198.628884046449,-60.5713946632618,1.41964481117643,-0.00956208365068181,2.3317604126971,0.0189792244160983,4.62817580078342,0.960420440477115,0.631662025329794
18.36,46.574715,-113.58834,0.86625140785553,263.885323912216,-57.8971452508104,1.20844503427204,-0.00541605349546984,1.64988710900463,0.0171814020304637,5.23395379096582,0.969603322879117,0.511656972928494
22.7075,46.575283,-113.634598,0.807684920376451,23.192252025396,232.55982765012,2.0831200707446,-0.0212511510645506,0.610215739931239,0.0276149348604365,0.792948478782582,0.958661479276125,0.124503461744424
25.4175,46.581063,-113.675469,0.722394040291204,39.8267164475269,-78.2540888833815,2.99531720905042,-0.0315560250462747,1.73973315342195,0.0355144195774007,1.95796565228787,0.885781075385685,0.389913184974027
14.67,46.597,-113.6,1.1809,58.087,-4.639,4.1702,-0.078614,3.8669,0.08341,4.1028,0.90508,0.2184
15.883,46.584,-113.59,0.81454,192.48,-60.571,1.4196,-0.0098674,2.3318,0.019585,4.6282,0.96042,0.63166
18.36,46.575,-113.59,0.86625,255.72,-57.897,1.2084,-0.005589,1.6499,0.01773,5.234,0.9696,0.51166
22.707,46.575,-113.63,0.80768,22.475,232.56,2.0831,-0.02193,0.61022,0.028497,0.79295,0.95866,0.1245
25.418,46.581,-113.68,0.72239,38.594,-78.254,2.9953,-0.032564,1.7397,0.036648,1.958,0.88578,0.38991
