alt_of_detection_km,lat_of_detection,lon_of_detection,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group_vel_ms,int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms,degreeofpolarization,stokes_param_Q
18.2775,47.167805,-113.618924,1.13062563571781,346.55303793452,-14.671888753471,1.2476171653921,-0.00827805523878663,2.53734313159276,0.0231519680776379,7.09641159549207,0.963482257176258,2.45451898569999
23.355,47.196946,-113.697747,5.26403842370861,351.843975672792,119.715615073738,2.67185743897917,-0.198508252875004,13.2681274857023,0.230844790282517,15.4294749085685,0.960705161812681,0.566077172649753
22.6725,47.193274,-113.68191,0.732352189467061,46.1335914855688,35.008195946625,2.13504865036281,-0.0200335869471653,1.26199024117578,0.0256634775237828,1.61663801270648,0.899002582057578,0.369193561878744
24.9175,47.19768,-113.735845,0.466188668578133,25.9189948765292,-59.3686397303546,3.34610935804075,-0.0233162245685959,1.29632731524052,0.0256029252847363,1.4234625035036,0.698244753531977,0.146143482240439
25.4625,47.19565,-113.7497,1.30471957567896,85.9256534390959,209.634517853334,1.67328127141731,-0.0230344137371953,1.51699038540525,0.0358322330284378,2.35982359316426,0.937703118839355,1.53511047696504
26.075,47.195473,-113.770518,0.501925455291129,23.6206900020448,230.657835155832,3.33163853410475,-0.0249736788680095,1.17526521226088,0.02744636555306,1.29163023229336,0.857574752661048,0.0795433463856847
28.7025,47.208425,-113.853292,1.06322455174268,34.6737736545385,34.6234841145666,2.88851953207164,-0.0443652771543142,1.44683601939796,0.0504066749571124,1.64385748549175,0.909806521173872,0.781032235875752
18.277,47.168,-113.62,1.1306,335.83,-14.672,1.2476,-0.0085424,2.5373,0.023891,7.0964,0.96348,2.4545
23.355,47.197,-113.7,5.264,340.96,119.72,2.6719,-0.20485,13.268,0.23822,15.429,0.96071,0.56608
22.672,47.193,-113.68,0.73235,44.706,35.008,2.135,-0.020673,1.262,0.026483,1.6166,0.899,0.36919
24.918,47.198,-113.74,0.46619,25.117,-59.369,3.3461,-0.024061,1.2963,0.02642,1.4235,0.69824,0.14614
25.462,47.196,-113.75,1.3047,83.267,209.63,1.6733,-0.02377,1.517,0.036976,2.3598,0.9377,1.5351
26.075,47.195,-113.77,0.50193,22.89,230.66,3.3316,-0.025771,1.1753,0.028323,1.2916,0.85757,0.079543
28.703,47.208,-113.85,1.0632,33.601,34.623,2.8885,-0.045782,1.4468,0.052016,1.6439,0.90981,0.78103
18.277,47.168,-113.62,1.1306,335.83,-14.672,1.2476,-0.0085424,2.5373,0.023891,7.0964,0.96348,2.4545
23.355,47.197,-113.7,5.264,340.96,119.72,2.6719,-0.20485,13.268,0.23822,15.429,0.96071,0.56608
22.672,47.193,-113.68,0.73235,44.706,35.008,2.135,-0.020673,1.262,0.026483,1.6166,0.899,0.36919
24.918,47.198,-113.74,0.46619,25.117,-59.369,3.3461,-0.024061,1.2963,0.02642,1.4235,0.69824,0.14614
25.462,47.196,-113.75,1.3047,83.267,209.63,1.6733,-0.02377,1.517,0.036976,2.3598,0.9377,1.5351
26.075,47.195,-113.77,0.50193,22.89,230.66,3.3316,-0.025771,1.1753,0.028323,1.2916,0.85757,0.079543
28.703,47.208,-113.85,1.0632,33.601,34.623,2.8885,-0.045782,1.4468,0.052016,1.6439,0.90981,0.78103
18.277,47.168,-113.62,1.1306,335.83,-14.672,1.2476,-0.0085424,2.5373,0.023891,7.0964,0.96348,2.4545
23.355,47.197,-113.7,5.264,340.96,119.72,2.6719,-0.20485,13.268,0.23822,15.429,0.96071,0.56608
22.672,47.193,-113.68,0.73235,44.706,35.008,2.135,-0.020673,1.262,0.026483,1.6166,0.899,0.36919
