alt_of_detection_km,lat_of_detection,lon_of_detection,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group_vel_ms,int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms,degreeofpolarization,stokes_param_Q
13.695,46.758044,-113.625837,0.482707698979557,95.7102245619518,105.882466471305,1.79216014865224,-0.00977796480527896,1.93875343038965,0.0141987066553946,2.81528843511287,0.979671371474339,0.259824616088328
17.4825,46.815538,-113.622728,2.65470833210629,422.660544567261,61.4238195456738,1.82012006131683,-0.0553668167648656,8.81504331070029,0.0793057350131342,12.6263984418067,0.98832283368387,0.955681538789068
19.79,46.833132,-113.62908,1.14986835766088,125.408583463493,114.091747036276,2.02215787926236,-0.0288307498161509,3.14438037236622,0.0381637399847054,4.1622682625053,0.820044580428939,0.240595808985971
22.405,46.847052,-113.67419,0.554394881606761,25.539785521448,-77.5075648295635,1.57458388514049,-0.00854873083172978,0.393821730983863,0.0143275772799046,0.660040817314558,0.966897857293082,0.461309127914082
29.4225,46.865499,-113.862657,1.31390854095812,39.2306723779653,133.215232963289,2.75465959022856,-0.0515760865215577,1.53995844443583,0.0594047016508987,1.77370518230878,0.90094022270974,-0.162211217269192
13.695,46.758,-113.63,0.48271,92.749,105.88,1.7922,-0.01009,1.9388,0.014652,2.8153,0.97967,0.25982
17.483,46.816,-113.62,2.6547,409.58,61.424,1.8201,-0.057135,8.815,0.081838,12.626,0.98832,0.95568
19.79,46.833,-113.63,1.1499,121.53,114.09,2.0222,-0.029751,3.1444,0.039382,4.1623,0.82004,0.2406
22.405,46.847,-113.67,0.55439,24.75,-77.508,1.5746,-0.0088217,0.39382,0.014785,0.66004,0.9669,0.46131
29.422,46.865,-113.86,1.3139,38.017,133.22,2.7547,-0.053223,1.54,0.061302,1.7737,0.90094,-0.16221
13.695,46.758,-113.63,0.48271,92.749,105.88,1.7922,-0.01009,1.9388,0.014652,2.8153,0.97967,0.25982
17.483,46.816,-113.62,2.6547,409.58,61.424,1.8201,-0.057135,8.815,0.081838,12.626,0.98832,0.95568
19.79,46.833,-113.63,1.1499,121.53,114.09,2.0222,-0.029751,3.1444,0.039382,4.1623,0.82004,0.2406
22.405,46.847,-113.67,0.55439,24.75,-77.508,1.5746,-0.0088217,0.39382,0.014785,0.66004,0.9669,0.46131
29.422,46.865,-113.86,1.3139,38.017,133.22,2.7547,-0.053223,1.54,0.061302,1.7737,0.90094,-0.16221
13.695,46.758,-113.63,0.48271,92.749,105.88,1.7922,-0.01009,1.9388,0.014652,2.8153,0.97967,0.25982
17.483,46.816,-113.62,2.6547,409.58,61.424,1.8201,-0.057135,8.815,0.081838,12.626,0.98832,0.95568
19.79,46.833,-113.63,1.1499,121.53,114.09,2.0222,-0.029751,3.1444,0.039382,4.1623,0.82004,0.2406
22.405,46.847,-113.67,0.55439,24.75,-77.508,1.5746,-0.0088217,0.39382,0.014785,0.66004,0.9669,0.46131
29.422,46.865,-113.86,1.3139,38.017,133.22,2.7547,-0.053223,1.54,0.061302,1.7737,0.90094,-0.16221
13.695,46.758,-113.63,0.48271,92.749,105.88,1.7922,-0.01009,1.9388,0.014652,2.8153,0.97967,0.25982
17.483,46.816,-113.62,2.6547,409.58,61.424,1.8201,-0.057135,8.815,0.081838,12.626,0.98832,0.95568
19.79,46.833,-113.63,1.1499,121.53,114.09,2.0222,-0.029751,3.1444,0.039382,4.1623,0.82004,0.2406
22.405,46.847,-113.67,0.55439,24.75,-77.508,1.5746,-0.0088217,0.39382,0.014785,0.66004,0.9669,0.46131
29.422,46.865,-113.86,1.3139,38.017,133.22,2.7547,-0.053223,1.54,0.061302,1.7737,0.90094,-0.16221
13.695,46.758,-113.63,0.48271,92.749,105.88,1.7922,-0.01009,1.9388,0.014652,2.8153,0.97967,0.25982
17.483,46.816,-113.62,2.6547,409.58,61.424,1.8201,-0.057135,8.815,0.081838,12.626,0.98832,0.95568
19.79,46.833,-113.63,1.1499,121.53,114.09,2.0222,-0.029751,3.1444,0.039382,4.1623,0.82004,0.2406
22.405,46.847,-113.67,0.55439,24.75,-77.508,1.5746,-0.0088217,0.39382,0.014785,0.66004,0.9669,0.46131
29.422,46.865,-113.86,1.3139,38.017,133.22,2.7547,-0.053223,1.54,0.061302,1.7737,0.90094,-0.16221
